"","NAME","STRATUM","TOTALSTAFF","CORRSTAFF","CORRSTAFFF","OTHERSTAFF","OTHERSTAFFF","OTHERSTAFFM","TOTPOP","ADPF","ADP","DESIGNWT","FINALWT","year"
"63","Marin County Sheriffs Office",1,115,89,19,26,17,9,281,39,267,1,1,"2015"
"64","Mariposa County Sheriffs Office",1,21,19,9,2,1,1,45,10,45,1,1,"2015"
"65","Merced County Sheriffs Office",1,71,51,11,20,9,11,814,67,696,1,1,"2015"
"66","Modoc County Sheriffs Office",1,7,7,2,0,0,0,22,3,23,1,1,"2015"
"67","Mono County Sheriffs Office",1,18,18,9,0,0,0,25,2,20,1,1,"2015"
"68","Napa County Department of Corrections",1,88,65,17,23,10,13,169,19,172,1,1.125,"2015"
"69","Nevada County Sheriffs Office",1,87,59,27,28,19,9,199,45,223,1,1.125,"2015"
"70","Orange County Sheriff's Department",1,0,0,0,0,0,0,5879,726,5754,1,1.11111111,"2015"
"71","Placer County Sheriffs Department",1,200,122,32,78,49,29,624,118,628,1,1,"2015"
"72","Plumas County Sheriffs Correctional Facility",1,18,18,8,0,0,0,59,9,49,1,1,"2015"
"73","Riverside County Sheriff's Department",1,1497,1199,235,298,191,107,5300,454,3821,1,1.11111111,"2015"
"74","Sacramento County Sheriffs Office - Rio Cosumnes Correctional Center (RCCC)",1,221,156,26,65,13,52,1635,201,1986,1,1.11111111,"2015"
"75","Sacramento County Sheriff's Department - Main Jail",1,422,279,47,143,75,68,2072,232,2061,1,1.11111111,"2015"
"76","San Benito County Sheriffs Office",1,25,22,9,3,1,2,149,18,123,1,1.125,"2015"
"77","San Diego County Sheriff's Department",1,1726,1023,229,703,437,266,5060,764,4986,1,1.11111111,"2015"
"78","Correctional Alternatives",1,82,33,13,49,30,19,331,110,273,1,1.11111111,"2015"
"79","San Joaquin County Sheriffs Office",1,229,210,47,19,5,14,1793,135,1249,1,1.11111111,"2015"
"80","San Luis Obispo County Sheriffs Office",1,167,138,40,29,26,3,505,82,606,1,1,"2015"
"81","San Mateo County Sheriffs Office",1,263,205,38,58,25,33,974,102,853,1,1.11111111,"2015"
"82","Santa Barbara County Sheriffs Office",1,279,176,31,103,60,43,1087,156,1104,1,1.11111111,"2015"
"83","Santa Clara County Sheriff's Office",1,860,718,147,142,65,77,3905,469,3637,1,1.11111111,"2015"
"84","Santa Cruz County Sheriffs Office",1,139,113,25,26,16,10,590,37,410,1,1,"2015"
"85","Shasta County Sheriff's Office",1,91,60,14,31,15,16,474,51,322,1,1,"2015"
"86","Sierra County Sheriffs Office",1,5,4,0,1,1,0,4,1,3,1,1,"2015"
"87","Siskiyou County Sheriffs Department",1,40,28,6,12,6,6,166,9,101,1,1,"2015"
"88","Solano County Sheriff's Office",1,236,232,70,4,2,2,931,115,883,1,1,"2015"
"89","Sonoma County Sheriff's Office",1,243,167,39,76,35,41,985,163,1063,1,1.11111111,"2015"
"90","Stanislaus County Sheriffs Department",1,294,238,33,56,45,11,1389,122,1098,1,1.11111111,"2015"
"91","Sutter County Sheriffs Office",1,49,42,14,7,3,4,286,51,256,1,1,"2015"
"92","Tehama County Sheriffs Office",1,42,40,7,2,1,1,270,25,200,1,1.125,"2015"
"93","Trinity County Sheriffs Office",1,17,17,6,0,0,0,56,8,53,1,1,"2015"
"94","Tulare County Sheriff's Department",1,429,296,53,133,50,83,1571,197,1522,1,1.11111111,"2015"
"95","Tuolumne County Sheriffs Office",1,46,37,11,9,7,2,147,31,146,1,1.125,"2015"
"96","Ventura County Probation Agency",1,-9,-9,-9,-9,-9,-9,85,6,34,1,1.11111111,"2015"
"97","Ventura County Sheriff's Office",1,400,312,72,88,53,35,1682,217,1622,1,1.11111111,"2015"
"98","Yolo County Sheriff's Office",1,135,110,30,25,24,1,425,54,378,1,1,"2015"
"99","Yuba County Sheriffs Office",1,84,64,15,20,11,9,365,48,394,1,1,"2015"
"100","Glendale City Police Department",1,20,18,8,2,0,2,7,2,14,1,1,"2015"
"101","Long Beach Police Department",1,42,42,9,0,0,0,69,9,69,1,1.125,"2015"
"102","Monterey Park Police Department",1,9,7,4,2,1,1,2,1,3,1,1,"2015"
"103","Whittier Police Department",1,9,9,4,0,0,0,7,1,6,1,1,"2015"
"104","Santa Ana Police Department",1,121,88,30,33,29,4,320,90,320,1,1,"2015"
"105","Seal Beach Police Department Detention Center",1,7,5,3,2,0,2,10,0,5,1,1,"2015"
"106","San Francisco Sheriffs Department",1,486,459,64,27,6,21,2150,111,1208,1,1.11111111,"2015"
"107","Alhambra City Jail",1,10,8,5,2,1,1,9,1,6,1,1,"2015"
"108","Montebello City Jail - Geo Group, Inc.",1,6,6,2,0,0,0,3,1,5,1,1,"2015"
"109","Adams County Sheriffs Office",1,294,193,22,101,75,26,1229,127,941,1,1.01503759,"2015"
"110","Arapahoe County Sheriffs Office",1,370,230,60,140,50,90,1058,132,1008,1,1.01503759,"2015"
"111","Boulder County Sheriffs Office",7,172,112,23,60,43,17,486,66,465,1.27884614,1.31702066,"2015"
"112","Conejos County Sheriffs Office",10,16,14,3,2,2,0,34,10,40,14.89999962,14.89999962,"2015"
"113","Douglas County Sheriffs Office",7,166,146,40,20,11,9,218,69,276,1.27884614,1.31702066,"2015"
"114","El Paso County Sheriffs Office",1,411,285,62,126,71,55,1424,289,1547,1,1.01503759,"2015"
"115","ComCor Inc.",1,125,50,25,75,38,37,628,73,345,1,1.01503759,"2015"
"116","Garfield County Sheriff's Office",9,57,48,17,9,2,7,104,17,106,9,9.29508197,"2015"
"117","Jefferson County Sheriffs Office",1,378,259,53,119,79,40,1154,205,1203,1,1.01503759,"2015"
"118","Larimer County Sheriffs Office",7,175,125,23,50,25,25,467,82,483,1.27884614,1.31702066,"2015"
"119","Mesa County Sheriff's Office",7,93,88,38,5,3,2,422,68,423,1.27884614,1.31702066,"2015"
"120","Rio Blanco County Jail",10,10,9,0,1,1,0,17,2,12,14.89999962,14.89999962,"2015"
"121","Teller County Sheriffs Office",9,25,24,7,1,1,0,77,19,54,9,9.29508197,"2015"
"122","Weld County Sheriffs Office",1,235,189,42,46,38,8,707,114,618,1,1,"2015"
"123","Denver Sheriff Department",1,884,797,217,87,48,39,1962,286,2017,1,1.01503759,"2015"
"124","D.C. Department of Corrections",1,872,657,235,215,126,89,1849,110,1814,1,1.01503759,"2015"
"125","Alachua County Sheriffs Office",1,325,233,63,92,68,24,825,105,806,1,1.01503759,"2015"
"126","Baker County Sheriff's Office",7,107,75,19,32,23,9,437,47,416,1.27884614,1.31702066,"2015"
"127","Bay County Jail Facility",1,265,142,54,123,83,40,980,313,1210,1,1,"2015"
"128","Brevard County Sheriff's Office Jail Complex",1,449,309,94,140,106,34,1538,271,1446,1,1.01503759,"2015"
"129","Broward Sheriff's Office",1,1533,1278,522,255,167,88,7223,513,4573,1,1.01503759,"2015"
"130","GEO Group - Broward Transitional Center",1,164,98,28,66,46,20,685,81,453,1,1.01503759,"2015"
"131","Charlotte County Sheriffs Office",7,189,140,36,49,37,12,669,151,695,1.27884614,1.31702066,"2015"
"132","Collier County Sheriffs Office",1,307,257,66,50,32,18,831,112,790,1,1,"2015"
"133","Miami-Dade County Corrections and Rehabilitation Department",1,2773,2049,1009,724,185,539,4830,252,4153,1,1.01503759,"2015"
"134","Escambia County Corrections",1,370,285,97,85,65,20,1346,253,1324,1,1.01503759,"2015"
"135","Escambia County Road Prison",1,70,65,2,5,3,2,188,0,184,1,1.01503759,"2015"
"136","Hernando County Sheriffs Office",7,115,75,19,40,35,5,525,110,467,1.27884614,1.31702066,"2015"
"137","Hillsborough County Sheriffs Office",1,648,568,119,80,56,24,2838,387,2817,1,1.01503759,"2015"
"138","Lake County Sheriffs Office",1,200,120,30,80,60,20,800,150,800,1,1,"2015"
"139","Lee County Sheriffs Office",1,463,353,94,110,91,19,1646,291,1629,1,1.01503759,"2015"
"140","Leon County Sheriffs Office",1,315,280,90,35,17,18,1070,173,1128,1,1,"2015"
"141","Manatee County Sheriff's Office",1,343,197,47,146,77,69,985,175,1019,1,1,"2015"
"142","Marion County Sheriffs Office",1,282,178,57,104,66,38,1229,234,1254,1,1.01503759,"2015"
"143","Martin County Sheriffs Office",1,139,123,26,16,10,6,521,87,526,1,1,"2015"
"144","Monroe County Sheriffs Office",7,179,142,36,37,23,14,555,45,478,1.27884614,1.31702066,"2015"
"145","Nassau County Sheriffs Office",7,51,36,9,15,6,9,211,40,230,1.27884614,1.31702066,"2015"
"146","Okaloosa County Department of Corrections",1,125,118,28,7,4,3,667,121,657,1,1,"2015"
"147","Orange County Corrections Department",1,1765,1351,-9,414,-9,-9,5521,354,2768,1,1.01503759,"2015"
"148","Palm Beach County Sheriffs Office",1,935,545,224,390,248,142,2310,230,2194,1,1.01503759,"2015"
"149","Pasco Sheriff's Office",1,-9,-9,-9,-9,-9,-9,1384,253,1398,1,1.01503759,"2015"
"150","Pinellas County Sheriff's Office",1,999,638,-9,361,-9,-9,3642,445,2796,1,1.01503759,"2015"
"151","Polk County Sheriffs Office",1,444,247,67,197,117,80,2821,422,2423,1,1.01503759,"2015"
"152","Putnam County Sheriffs Office",7,61,54,14,7,7,0,281,53,288,1.27884614,1.31702066,"2015"
"153","St. Lucie County Sheriffs Office",1,272,230,38,42,34,8,1217,220,1296,1,1.01503759,"2015"
"154","Santa Rosa County Sheriff's Office",1,0,0,0,0,0,0,596,209,672,1,1,"2015"
"155","Sarasota County Sheriffs Office",1,250,188,34,62,46,16,888,183,917,1,1,"2015"
"156","Seminole County Sheriff's Office",1,-9,-9,-9,-9,-9,-9,871,140,792,1,1,"2015"
"157","Sumter County Sheriff's Office",8,92,64,19,28,16,12,301,54,272,4.90361452,5.02620488,"2015"
"158","Volusia County Division of Corrections",1,322,260,67,62,32,30,1254,254,1389,1,1.01503759,"2015"
"159","Jacksonville Sheriffs Office",1,888,764,208,124,97,27,3638,516,3412,1,1.01503759,"2015"
"160","Barrow County Sheriff's Office",7,103,90,26,13,6,7,220,43,235,1.27884614,1.31702066,"2015"
"161","Bartow County Sheriffs Office",7,100,90,22,10,7,3,623,145,600,1.27884614,1.31702066,"2015"
"162","Ben Hill County Sheriff's Office",8,50,25,15,25,15,10,121,16,101,4.90361452,5.02620488,"2015"
"163","Bibb County Sheriffs Office",1,258,129,58,129,58,71,824,135,889,1,1,"2015"
"164","Brooks County Sheriffs Office",9,25,24,12,1,0,1,80,10,80,9,9.29508197,"2015"
"165","Bulloch County Sheriffs Office",7,65,65,30,0,0,0,375,50,375,1.27884614,1.31702066,"2015"
"166","Bulloch County Correctional Institution",7,32,30,7,2,2,0,152,0,158,1.27884614,1.31702066,"2015"
"167","Calhoun County Sheriffs Office",10,8,8,5,0,0,0,31,4,20,14.89999962,14.89999962,"2015"
"168","Carroll County Prison",1,25,21,2,4,1,3,242,0,242,1,1,"2015"
"169","Carroll County Sheriff's Office",1,186,83,26,103,20,83,483,80,507,1,1,"2015"
"170","Catoosa County Sheriffs Office",8,31,28,9,3,2,1,200,50,210,4.90361452,5.02620488,"2015"
"171","Chatham County Adult Detention Center",1,420,337,138,83,57,26,1534,196,1534,1,1.01503759,"2015"
"172","Cherokee County Sheriffs Office",1,110,96,16,14,7,7,579,120,583,1,1,"2015"
"173","Clayton County Correctional Institution",1,59,52,7,7,3,4,223,0,230,1,1.01503759,"2015"
"174","Clayton County Sheriff's Office",1,-9,-9,-9,-9,-9,-9,1546,107,1092,1,1.01503759,"2015"
"175","Cobb County Sheriffs Office",1,420,248,59,172,54,118,1775,277,1794,1,1.01503759,"2015"
"176","Coffee County Sheriffs Office",8,63,42,17,21,8,13,237,51,224,4.90361452,5.02620488,"2015"
"177","Coweta County Sheriff's Office",1,82,78,23,4,3,1,268,50,268,1,1,"2015"
"178","Coweta County Prison",1,115,102,4,13,2,11,240,0,234,1,1,"2015"
"179","Dade County Sheriff's Office",9,16,10,5,6,3,3,35,9,42,9,9.29508197,"2015"
"180","Dawson County Sheriffs Office",3,58,29,8,29,8,21,151,35,150,4.69999981,5.22222201,"2015"
"181","Decatur County Sheriffs Office",7,72,28,10,44,8,36,61,5,74,1.27884614,1.31702066,"2015"
"182","Decatur County Prison",7,44,40,6,4,4,0,157,0,175,1.27884614,1.31702066,"2015"
"183","Dekalb County Sheriffs Office",1,627,483,270,144,100,44,1974,235,2223,1,1.01503759,"2015"
"184","Dodge County Sheriffs Office",9,31,30,10,1,0,1,115,15,100,9,9.29508197,"2015"
"185","Dougherty County Jail",1,176,144,63,32,26,6,647,89,690,1,1,"2015"
"186","Douglas County Sheriff's Office",1,312,96,63,216,33,183,699,137,734,1,1,"2015"
"187","Effingham County Sheriffs Office",7,47,40,15,7,3,4,162,48,185,1.27884614,1.31702066,"2015"
"188","Effingham County Prison",7,37,26,13,11,6,5,187,0,184,1.27884614,1.31702066,"2015"
"189","Floyd County Work Release Center",1,14,10,1,4,2,2,68,0,57,1,1.01503759,"2015"
"190","Floyd County Prison",1,60,53,3,7,7,0,423,0,407,1,1.01503759,"2015"
"191","Floyd County Sheriffs Office",1,85,75,23,10,5,5,597,122,563,1,1.01503759,"2015"
"192","Franklin County Sheriffs Office",9,27,24,12,3,2,1,72,14,86,9,9.29508197,"2015"
"193","Glynn County Sheriffs Office",2,206,164,-9,42,16,26,388,65,399,2.71428561,2.71428561,"2015"
"194","Gordon County Sheriffs Office",7,45,40,10,5,2,3,253,60,274,1.27884614,1.31702066,"2015"
"195","Gwinnett County Sheriff's Department",1,679,528,113,151,119,32,1829,286,2006,1,1.01503759,"2015"
"196","Gwinnett County Department of Correction",1,131,114,18,17,11,6,932,13,367,1,1.01503759,"2015"
"197","Hall County Sheriffs Office",1,350,262,75,88,47,41,831,150,788,1,1,"2015"
"198","Hall County Correctional Institution",1,36,30,2,6,4,2,228,0,225,1,1,"2015"
"199","Henry County Sheriffs Department",1,308,160,39,148,28,120,657,101,649,1,1,"2015"
"200","Houston County Sheriffs Office",7,171,153,56,18,16,2,421,68,421,1.27884614,1.31702066,"2015"
"201","Irwin County Detention Center",1,185,169,109,16,7,9,673,154,606,1,1,"2015"
"202","Jefferson County Prison",7,36,31,5,5,4,1,132,0,132,1.27884614,1.31702066,"2015"
"203","Jefferson County Sheriffs Office",7,14,6,4,8,6,2,75,8,73,1.27884614,1.31702066,"2015"
"204","Jenkins County Sheriffs Office",1,14,12,0,2,2,0,16,2,21,1,1.01503759,"2015"
"205","Jenkins Correctional Center -- CCA",1,195,127,81,68,44,24,1160,0,1141,1,1.01503759,"2015"
"206","McDuffie County Sheriffs Office",9,24,16,8,8,3,5,77,11,91,9,9.29508197,"2015"
"207","Pickens County Sheriff Office",9,25,21,3,4,3,1,133,26,133,9,9.29508197,"2015"
"208","Pike County Sheriffs Office",5,15,12,0,3,0,3,22,3,18,7.41666651,8.09090892,"2015"
"209","Screven County Sheriffs Office",1,17,12,8,5,2,3,49,6,56,1,1.01503759,"2015"
"210","Screven County Prison",1,19,15,0,4,3,1,140,0,140,1,1.01503759,"2015"
"211","Spalding County Sheriffs Office",1,79,66,27,13,9,4,390,57,367,1,1,"2015"
"212","Spalding County Correctional Institution",1,82,74,24,8,6,2,380,0,373,1,1,"2015"
"213","Sumter County Sheriff's Office",7,110,36,16,74,37,37,160,20,160,1.27884614,1.31702066,"2015"
"214","Sumter County Correctional Institute",7,42,30,10,12,7,5,343,0,340,1.27884614,1.31702066,"2015"
"215","Telfair County Sheriffs Office",10,11,8,3,3,1,2,32,4,27,14.89999962,14.89999962,"2015"
"216","Thomas County Sheriffs Office",7,31,27,12,4,2,2,219,24,219,1.27884614,1.31702066,"2015"
"217","Thomas County Prison",7,30,28,5,2,2,0,190,0,190,1.27884614,1.31702066,"2015"
"218","Tift County Sheriff's Office",8,53,50,12,3,3,0,173,28,194,4.90361452,5.02620488,"2015"
"219","Troup County Sheriffs Office",1,58,48,12,10,7,3,351,69,405,1,1,"2015"
"220","Troup County Prison",1,83,77,17,6,5,1,336,0,339,1,1,"2015"
"221","Ware County Sheriffs Office",7,64,56,15,8,1,7,377,79,359,1.27884614,1.31702066,"2015"
"222","Whitfield County Sheriffs Department",7,196,140,25,56,33,23,453,71,420,1.27884614,1.31702066,"2015"
"223","Athens-Clarke County Correctional Institution",1,27,23,5,4,1,3,107,0,109,1,1,"2015"
"224","Clarke County Sheriff's Office",1,74,38,12,36,17,19,360,51,425,1,1,"2015"
"225","Athens-Clarke County Diversion Center",1,-9,-9,-9,-9,-9,-9,39,0,36,1,1,"2015"
"226","City of Atlanta Department of Corrections",7,328,269,114,59,51,8,323,60,404,1.27884614,1.31702066,"2015"
"227","Muscogee County Prison Office",1,122,105,15,17,13,4,545,0,520,1,1.01503759,"2015"
"228","Muscogee County Sheriffs Office",1,274,267,53,7,7,0,1006,129,1086,1,1.01503759,"2015"
"229","Cuthbert Police Department",10,4,4,4,0,0,0,2,3,5,14.89999962,14.89999962,"2015"
"230","Richmond County Sheriff's Office",1,182,166,46,16,12,4,952,100,920,1,1.01503759,"2015"
"231","Richmond County Correctional Institution",1,76,72,12,4,4,0,224,0,224,1,1.01503759,"2015"
"232","Ada County Sheriffs Office",1,290,177,29,113,78,35,1300,196,903,1,1,"2015"
"233","Bannock County Sheriffs Office",7,79,52,11,27,16,11,281,53,246,1.27884614,1.31702066,"2015"
"234","Bonneville County Sheriffs Office Jail Division",7,83,61,15,22,17,5,379,120,377,1.27884614,1.31702066,"2015"
"235","Canyon County Sheriffs Office",7,140,105,15,35,26,9,1227,58,382,1.27884614,1.31702066,"2015"
"236","Fremont County Sheriffs Office",10,10,10,0,0,0,0,14,3,13,14.89999962,14.89999962,"2015"
"237","Jerome County Sheriff's Office",9,12,10,3,2,2,0,34,4,34,9,9.29508197,"2015"
"238","Kootenai County Sheriffs Office",7,101,75,15,26,10,16,343,100,375,1.27884614,1.31702066,"2015"
"239","Lewis County Sheriffs Office",10,3,3,0,0,0,0,7,2,11,14.89999962,14.89999962,"2015"
"240","Owyhee County Sheriffs Office",9,9,8,0,1,0,1,25,9,35,9,9.29508197,"2015"
"241","Shoshone County Sheriffs Office",10,9,9,2,0,0,0,30,9,35,14.89999962,14.89999962,"2015"
"242","Valley County Sheriffs Office",10,12,10,2,2,1,1,19,5,28,14.89999962,14.89999962,"2015"
"243","Cassia County Sheriffs Office",12,32,25,7,7,4,3,129,43,141,1,1.10526316,"2015"
"244","Champaign County Sheriffs Office",8,85,57,13,28,20,8,176,18,226,4.90361452,5.02620488,"2015"
"245","Cook County Department of Corrections",1,3050,2750,1203,300,150,150,10344,653,8515,1,1.01503759,"2015"
"246","DuPage County Sheriff's Office",1,279,204,31,75,33,42,572,64,645,1,1,"2015"
"247","Fayette County Sheriffs Office",10,13,12,0,1,0,1,60,15,55,14.89999962,14.89999962,"2015"
"248","Kane County Sheriffs Office",1,118,98,18,20,0,20,498,52,532,1,1,"2015"
"249","Kankakee County Sheriffs Office",1,-9,-9,-9,-9,-9,-9,409,25,516,1,1,"2015"
"250","Lake County Sheriffs Office",7,203,169,40,34,8,26,590,56,566,1.27884614,1.31702066,"2015"
"251","McHenry County Sheriffs Office",2,167,154,37,13,5,8,401,29,353,2.71428561,2.71428561,"2015"
"252","Macon County Sheriffs Office",2,96,75,19,21,17,4,297,37,285,2.71428561,2.71428561,"2015"
"253","Massac County Sheriffs Office",9,9,8,2,1,0,1,39,8,39,9,9.29508197,"2015"
"254","Mercer County Sheriffs Office",9,8,8,1,0,0,0,32,5,32,9,9.29508197,"2015"
"255","Peoria County Sheriffs Office",7,84,66,15,18,11,7,305,67,336,1.27884614,1.31702066,"2015"
"256","Rock Island County Sheriffs Office",7,72,59,15,13,3,10,205,24,229,1.27884614,1.31702066,"2015"
"257","Sangamon County Sheriffs Office",2,98,72,18,26,12,14,333,37,340,2.71428561,2.71428561,"2015"
"258","Will County Sheriffs Office",1,284,231,66,53,29,24,812,86,776,1,1,"2015"
"259","Winnebago County Sheriffs Office",1,202,199,44,3,2,1,651,85,651,1,1,"2015"
"260","Allen County Sheriff's Department",1,131,125,35,6,3,3,734,100,680,1,1,"2015"
"261","Blackford County Sheriffs Office",9,14,11,5,3,2,1,25,4,32,9,9.29508197,"2015"
"262","Clark County Sheriffs Office",1,46,28,9,18,6,12,474,111,506,1,1,"2015"
"263","Dearborn County Sheriffs Office",7,58,39,14,19,15,4,253,60,245,1.27884614,1.31702066,"2015"
"264","DuBois County Sheriffs Office",9,18,16,3,2,0,2,58,18,66,9,9.29508197,"2015"
"265","Elkhart County Sheriff's Department",1,102,91,28,11,6,5,736,79,616,1,1,"2015"
"266","Hamilton County Sheriffs Office",7,96,86,20,10,9,1,249,66,304,1.27884614,1.31702066,"2015"
"267","Hendricks County Sheriffs Department",8,42,40,7,2,2,0,244,38,199,4.90361452,5.02620488,"2015"
"268","Howard County Sheriffs Office",2,69,53,17,16,12,4,287,63,310,2.71428561,2.71428561,"2015"
"269","Jackson County Sheriff's Department",7,25,25,8,0,0,0,214,40,220,1.27884614,1.31702066,"2015"
"270","Johnson County Sheriffs Office",7,59,50,10,9,5,4,288,70,271,1.27884614,1.31702066,"2015"
"271","Kosciusko County Sheriffs Office",7,29,25,2,4,1,3,314,60,300,1.27884614,1.31702066,"2015"
"272","Lake County Sheriffs Office",1,235,126,36,109,70,39,901,81,685,1,1,"2015"
