"","NAME","STRATUM","OTHERSTAFF","TOTALSTAFF","ADPF","ADP","DESIGNWT","FINALWT","year"
"142","MADISON PARISH DETENTION CENTER",1,7,99,0,967,1,1.0695652,"2013"
"143","SEDGWICK COUNTY",1,72,274,5,1226,1,1.0695652,"2013"
"144","BARTOW COUNTY SHERIFF'S OFFICE JAIL",1,9,27,0,588,1,1.0695652,"2013"
"145","OUACHITA PARISH CORRECTIONAL CENTER",1,22,83,0,986,1,1.0695652,"2013"
"146","BRAZORIA COUNTY JAIL & DETENTION CENTER",1,10,80,1,736,1,1.0695652,"2013"
"147","ADA COUNTY",1,117,282,0,848,1,1.0695652,"2013"
"148","PLYMOUTH COUNTY CORRECTIONAL FACILITY",1,297,580,0,1298,1,1.0695652,"2013"
"149","CHESTER COUNTY PRISON",1,0,0,0,920,1,1.0695652,"2013"
"150","POLK COUNTY JAIL",1,87,296,0,922,1,1.0695652,"2013"
"151","RICHLAND COUNTY DETENTION CENTER",1,72,308,0,886,1,1.0695652,"2013"
"152","SANTA BARBARA COUNTY",1.1,100,189,0,1013,1,1,"2013"
"153","BAY COUNTY JAIL & ANNEX - CCA",1,62,222,0,931,1,1.0695652,"2013"
"154","BLUE RIDGE REGIONAL JAIL AUTHORITY",12,65,410,1,1184,1,1.0769231,"2013"
"155","BUCKS COUNTY",1,72,355,0,1126,1,1.0695652,"2013"
"156","SOLANO COUNTY",1.1,39,256,0,923,1,1,"2013"
"157","LANCASTER COUNTY PRISON",1,59,260,0,1113,1,1.0695652,"2013"
"158","MUSCOGEE COUNTY JAIL",1,39,259,0,1146,1,1.0695652,"2013"
"159","NUECES COUNTY JAIL",1,30,236,1,968,1,1.0695652,"2013"
"160","JEFFERSON COUNTY",1,21,127,0,1306,1,1.0695652,"2013"
"161","SILVERDALE  PENAL FARM - C.C.A.",1,66,216,0,889,1,1.0695652,"2013"
"162","WELD COUNTY JAIL",1,44,209,0,769,1,1.0695652,"2013"
"163","AUGUSTA-RICHMOND COUNTY",1,9,223,1,835,1,1.0695652,"2013"
"164","LAKE COUNTY JAIL",1,29,227,0,1021,1,1.0695652,"2013"
"165","ALBANY COUNTY CORRECTIONAL FACILITY",1,103,424,0,852,1,1.0695652,"2013"
"166","LEAVENWORTH DETENTION CENTER",1,32,220,0,879,1,1.0695652,"2013"
"167","HORRY COUNTY J. REUBEN LONG DETENTION CENTER",7,0,0,0,637,1.4136,1.5742364,"2013"
"168","MARION COUNTY JAIL II - C.C.A.",1,0,0,5,1016,1,1.0695652,"2013"
"169","SARASOTA COUNTY JAIL",1,65,264,1,933,1,1.0695652,"2013"
"170","LAS VEGAS CITY DETENTION ENFORCEMENT CENTER",1,57,235,1,854,1,1.0695652,"2013"
"171","FORSYTH COUNTY JAIL",1,30,248,0,695,1,1.0695652,"2013"
"172","CLARK COUNTY JAIL",1,38,175,0,731,1,1.0695652,"2013"
"173","DU PAGE COUNTY JAIL",1,37,251,0,760,1,1.0695652,"2013"
"174","MIDDLESEX COUNTY JAIL & HOUSE OF CORRECTION",1,0,0,0,885,1,1.0695652,"2013"
"175","ELKHART COUNTY CORRECTIONAL COMPLES",1,0,45,5,594,1,1.0695652,"2013"
"176","KENOSHA COUNTY JAIL",1,75,245,0,770,1,1.0695652,"2013"
"177","MANATEE COUNTY CENTRAL JAIL",1,118,319,0,1034,1,1.0695652,"2013"
"178","JACKSON COUNTY DETENTION CENTER",1,64,352,1,883,1,1.0695652,"2013"
"179","ALACHUA COUNTY",1,82,330,0,933,1,1.0695652,"2013"
"180","LAKE COUNTY SHERIFF'S OFFICE DETENTION CENTER",1,30,60,0,811,1,1.0695652,"2013"
"181","CHARLOTTE COUNTY SHERIFF'S OFFICE JAIL",7,0,0,0,598,1.4136,1.5742364,"2013"
"182","RUTHERFORD COUNTY JAIL",1,7,152,0,856,1,1.0695652,"2013"
"183","LAFAYETTE PARISH CORRECTIONAL CENTER",1,0,0,1,920,1,1.0695652,"2013"
"184","ATLANTIC COUNTY JAIL - DEPT. OF PUBLIC SAFETY",1,20,100,1,865,1,1.0695652,"2013"
"185","DANE COUNTY JAIL",1,70,250,0,743,1,1.0695652,"2013"
"186","OSCEOLA COUNTY JAIL",1,151,752,0,863,1,1.0695652,"2013"
"187","MCLENNAN COUNTY JAIL",1,62,242,0,875,1,1.0695652,"2013"
"188","PASSAIC COUNTY JAIL",1,35,381,0,1066,1,1.0695652,"2013"
"189","MILWAUKEE COUNTY CORRECTIONAL FAC CENTRAL",1,0,155,0,894,1,1.0695652,"2013"
"190","YAKIMA COUNTY JAIL",1,27,153,0,606,1,1.0695652,"2013"
"191","GREGG COUNTY JAIL",1,3,40,1,753,1,1.0695652,"2013"
"192","BERKS COUNTY PRISON",1,65,257,0,1178,1,1.0695652,"2013"
"193","MONTGOMERY COUNTY JAIL",1,13,145,1,851,1,1.0695652,"2013"
"194","TORRANCE COUNTY DETENTION FACILITY - CCA",1,41,201,0,847,1,1.0695652,"2013"
"195","DAVIS COUNTY JAIL",7,0,0,0,693,1.4136,1.5742364,"2013"
"196","HENRY COUNTY",2,0,0,0,673,2.4167,2.4857486,"2013"
"197","ERIE COUNTY PRISON",1,25,172,0,681,1,1.0695652,"2013"
"198","SOUTHWEST VIRGINIA REGIONAL JAIL AUTHORITY",12,75,326,1,1774,1,1.0769231,"2013"
"199","UNION COUNTY JAIL",1,34,329,1,846,1,1.0695652,"2013"
"200","WILL COUNTY ADULT DETENTION CENTER",1,43,280,1,765,1,1.0695652,"2013"
"201","RICHMOND CITY JAIL",1,41,398,0,1320,1,1.0695652,"2013"
"202","RACINE COUNTY JAIL",1,0,0,1,644,1,1.0695652,"2013"
"203","JOHNSON COUNTY JAIL",7,0,0,0,724,1.4136,1.5742364,"2013"
"204","NEW RIVER VALLEY REGIONAL JAIL",12,0,0,0,875,1,1.0769231,"2013"
"205","ETOWAH COUNTY DETENTION CENTER",1,25,118,0,794,1,1.0695652,"2013"
"206","BUTLER COUNTY",1,48,155,0,847,1,1.0695652,"2013"
"207","HENNEPIN COUNTY ADULT DETENTION CENTER",1,70,334,0,720,1,1.0695652,"2013"
"208","SAN MATEO COUNTY",1.1,53,246,0,1013,1,1,"2013"
"209","FRANKLIN PARISH DETENTION CENTER",7,0,0,1,814,1.4136,1.5742364,"2013"
"210","NORFOLK MUNICIPAL JAIL",1,84,487,0,1406,1,1.0695652,"2013"
"211","ROANOKE CITY JAIL",7,0,0,0,627,1.4136,1.5742364,"2013"
"212","ST. JOSEPH COUNTY JAIL",1,10,105,0,618,1,1.0695652,"2013"
"213","CATAHOULA CORRECTIONAL CENTER, LLC",1,8,79,0,770,1,1.0695652,"2013"
"214","MONTEREY COUNTY JAIL",1.1,0,0,0,1117,1,1,"2013"
"215","FLOYD COUNTY JAIL",1,10,87,1,604,1,1.0695652,"2013"
"216","NORTHAMPTON COUNTY DEPT OF CORRECTIONS",1,50,260,0,716,1,1.0695652,"2013"
"217","TAYLOR COUNTY JAIL",1,14,134,0,497,1,1.0695652,"2013"
"218","MERCER COUNTY CORRECTIONAL CENTER",1,67,335,0,856,1,1.0695652,"2013"
"219","WORCESTER COUNTY JAIL & HOUSE OF CORRECTION",1,197,554,0,1198,1,1.0695652,"2013"
"220","JOHNSON COUNTY",1,45,265,0,624,1,1.0695652,"2013"
"221","BELL COUNTY LAW ENFORCEMENT CENTER",7,0,0,0,657,1.4136,1.5742364,"2013"
"222","LUZERNE COUNTY CORRECTIONAL FACILITY",1,74,303,0,635,1,1.0695652,"2013"
"223","Southern Correction Entity - SCORE",12,25,101,0,365,1,1.0769231,"2013"
"224","GUILFORD COUNTY",1,11,327,0,879,1,1.0695652,"2013"
"225","GWINNETT CO DEPARTMENT OF CORRECTIONS",1,22,131,0,380,1,1.0695652,"2013"
"226","HAMPTON ROADS REGIONAL JAIL",12,25,282,0,1121,1,1.0769231,"2013"
"227","WAUKESHA COUNTY",1,23,150,1,550,1,1.0695652,"2013"
"228","WASHINGTON COUNTY JAIL",1,68,182,0,757,1,1.0695652,"2013"
"229","RICHLAND PARISH",7,0,0,0,798,1.4136,1.5742364,"2013"
"230","ORANGE COUNTY CORRECTIONAL FACILITY",1,78,369,0,582,1,1.0695652,"2013"
"231","HARRISON COUNTY",1,22,120,1,865,1,1.0695652,"2013"
"232","YUMA COUNTY DETENTION CENTER",1,32,229,0,543,1,1.0695652,"2013"
"233","SMITH COUNTY",1,0,0,0,728,1,1.0695652,"2013"
"234","BROWN COUNTY JAIL",1,47,189,0,651,1,1.0695652,"2013"
"235","HERNANDO COUNTY JAIL",2,0,0,0,526,2.4167,2.4857486,"2013"
"236","SUFFOLK COUNTY JAIL",1,83,350,0,667,1,1.0695652,"2013"
"237","ALLEN COUNTY CONFINEMENT CENTER",1,25,170,0,700,1,1.0695652,"2013"
"238","BENTON COUNTY JAIL",7,0,0,0,556,1.4136,1.5742364,"2013"
"239","DURHAM COUNTY JAIL",1,18,218,1,531,1,1.0695652,"2013"
"240","MONTGOMERY COUNTY JAIL",2,0,0,0,466,2.4167,2.4857486,"2013"
"241","HILLSBOROUGH COUNTY  DEPT OF CORRECTION",1,49,177,0,552,1,1.0695652,"2013"
"242","MOHAVE COUNTY JAIL",2,0,0,0,511,2.4167,2.4857486,"2013"
"243","INDIAN RIVER COUNTY JAIL",1,45,164,0,444,1,1.0695652,"2013"
"244","WASHINGTON COUNTY DETENTION CENTER",7,0,0,0,470,1.4136,1.5742364,"2013"
"245","CHRISTIAN COUNTY",7,0,0,0,635,1.4136,1.5742364,"2013"
"246","WESTMORELAND COUNTY PRISON",1,44,193,0,558,1,1.0695652,"2013"
"247","MONROE COUNTY",1,24,157,1,535,1,1.0695652,"2013"
"248","MARTIN COUNTY JAIL",1,19,91,0,506,1,1.0695652,"2013"
"249","ALLEGHENY COUNTY RENEWAL INCORPORATED",1,50,200,1,525,1,1.0695652,"2013"
"250","OCEAN COUNTY JUSTICE COMPLEX",7,0,0,0,618,1.4136,1.5742364,"2013"
"251","TERREBONNE PARISH CRIMINAL JUSTICE CENTER",7,0,0,1,615,1.4136,1.5742364,"2013"
"252","MAHONING COUNTY JAIL",1,17,133,1,484,1,1.0695652,"2013"
"253","SUMMIT COUNTY JAIL AND GLENWOOD ANNEX",7,0,0,0,640,1.4136,1.5742364,"2013"
"254","ONONDAGA COUNTY JUSTICE CENTER",1,35,275,0,627,1,1.0695652,"2013"
"255","KANKAKEE COUNTY",7,0,0,1,625,1.4136,1.5742364,"2013"
"256","MINNEHAHA COUNTY",7,0,0,0,559,1.4136,1.5742364,"2013"
"257","PRINCE WILLIAM-MANASSAS REG ADULT CORR. CTR.",12,61,337,0,987,1,1.0769231,"2013"
"258","ECTOR COUNTY JAIL",1,47,135,0,625,1,1.0695652,"2013"
"259","SHERBURNE COUNTY JAIL",7,0,0,1,419,1.4136,1.5742364,"2013"
"260","HOUSTON COUNTY DETENTION CENTER",7,0,0,1,475,1.4136,1.5742364,"2013"
"261","INGHAM COUNTY JAIL",1,17,106,0,607,1,1.0695652,"2013"
"262","SANTA FE CO ADULT DETENTION CENTER",7,0,0,0,401,1.4136,1.5742364,"2013"
"263","MCHENRY COUNTY ADULT CORRECTIONAL FACILITY",7,0,0,0,436,1.4136,1.5742364,"2013"
"264","HARDIN COUNTY DETENTION CENTER",7,0,0,0,597,1.4136,1.5742364,"2013"
"265","PLACER COUNTY",7.1,0,0,1,606,1.4136,1.0588235,"2013"
"266","LEBANON COUNTY CORRECTIONAL FACILITY",2,0,0,0,472,2.4167,2.4857486,"2013"
"267","KANE COUNTY ADULT CORRECTIONAL CENTER",1,22,141,0,648,1,1.0695652,"2013"
"268","COCONINO COUNTY JAIL",1,29,166,0,479,1,1.0695652,"2013"
"269","CHEROKEE COUNTY ADULT DETENTION CENTER",1,12,129,0,602,1,1.0695652,"2013"
"270","ST. CHARLES PARISH NELSON COLEMAN CORR CTR",7,0,0,1,505,1.4136,1.5742364,"2013"
"271","NORTHWEST OH REGIONAL CORRECTIONAL CENTER",12,55,168,0,566,1,1.0769231,"2013"
"272","WICHITA COUNTY JAIL",1,12,144,0,417,1,1.0695652,"2013"
"273","SULLIVAN COUNTY JAIL",7,0,0,1,693,1.4136,1.5742364,"2013"
"274","WASHINGTON COUNTY JAIL",7,0,0,1,590,1.4136,1.5742364,"2013"
"275","CALHOUN COUNTY CORRECTIONAL CENTER",1,15,135,0,512,1,1.0695652,"2013"
"276","MARION COUNTY",1,39,112,1,418,1,1.0695652,"2013"
"277","ST. JOHNS COUNTY DETENTION CENTER",1,25,100,0,446,1,1.0695652,"2013"
"278","BUTTE COUNTY JAIL",7.1,0,0,0,593,1.4136,1.0588235,"2013"
"279","IMPERIAL COUNTY",7.1,0,0,0,537,1.4136,1.0588235,"2013"
"280","GUADALUPE COUNTY JAIL - GEO GROUP INC.",7,0,0,0,584,1.4136,1.5742364,"2013"
"281","Western Virginia Regional Jail",12,9,179,0,734,1,1.0769231,"2013"
"282","FORREST COUNTY JAIL & WORK RELEASE",8,0,0,0,308,2.7519,3.0174342,"2013"
"283","POTTER COUNTY DETENTION CENTER",7,0,0,0,453,1.4136,1.5742364,"2013"
"284","KENTON COUNTY DETENTION CENTER",7,0,0,0,582,1.4136,1.5742364,"2013"
"285","TYGART VALLEY REGIONAL JAIL",12,93,163,1,510,1,1.0769231,"2013"
"286","WEST TENNESSEE DET FAC - C.C.A.",1,0,0,5,414,1,1.0695652,"2013"
"287","NORTH CENTRAL REGIONAL JAIL",12,25,95,1,645,1,1.0769231,"2013"
"288","OKALOOSA COUNTY DEPT. OF CORRECTIONS JAIL",1,10,127,0,631,1,1.0695652,"2013"
"289","WESTERN REGIONAL JAIL",12,20,104,0,611,1,1.0769231,"2013"
"290","CLAIBORNE DETENTION CENTER",7,0,0,0,606,1.4136,1.5742364,"2013"
"291","ROBERTSON COUNTY JAIL",7,0,0,1,450,1.4136,1.5742364,"2013"
"292","PENNINGTON COUNTY JAIL",7,0,0,0,513,1.4136,1.5742364,"2013"
"293","SAN LUIS OBISPO COUNTY JAIL",7.1,0,0,0,717,1.4136,1.0588235,"2013"
"294","GASTON COUNTY JAIL AND ANNEX",2,0,0,0,493,2.4167,2.4857486,"2013"
"295","WALTON COUNTY JAIL",3,0,0,0,228,4.2917,5.15004,"2013"
"296","GENESEE COUNTY JAIL",1,7,136,1,630,1,1.0695652,"2013"
"297","MUSCOGEE COUNTY PRISON",1,6,111,0,558,1,1.0695652,"2013"
"298","EASTERN REGIONAL JAIL",12,14,96,0,463,1,1.0769231,"2013"
"299","ASCENSION PARISH JAIL",7,0,0,0,476,1.4136,1.5742364,"2013"
"300","CUMBERLAND COUNTY JAIL",7,0,0,0,443,1.4136,1.5742364,"2013"
"301","LOUDOUN COUNTY ADULT DETENTION CENTER",7,0,0,0,349,1.4136,1.5742364,"2013"
"302","CUMBERLAND COUNTY JAIL",1,49,270,0,678,1,1.0695652,"2013"
